author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,phone,district,street,house_number,underground,residential_complex
Донстрой,developer,https://www.cian.ru/sale/flat/309018369/,Москва,sale,flat,6,50,1,49.3,25621210,2027,-1,Монолитный,-1,Без отделки,"14,1 м²","17,9 м²",+74951387177,Раменки,м. Мичуринский проспект,,Мичуринский проспект,Событие
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/309338440/,Москва,sale,flat,1,17,1,35.8,8600000,2005,-1,-1,-1,-1,14 м²,9 м²,+79852531815,Левобережный,Валдайский проезд,13АК1,Беломорская,
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/294476646/,Москва,sale,flat,3,5,1,31.0,18500000,1958,-1,-1,-1,-1,-1,-1,+79660626305,Пресненский, Юлиуса Фучика,2/30,Маяковская,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/308934281/,Москва,sale,flat,6,17,1,36.3,12500000,2006,-1,-1,-1,-1,17 м²,8 м²,+79651096613,Кунцево, Коцюбинского,10,Кунцевская,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/307502540/,Москва,sale,flat,6,14,1,39.4,8750000,1994,-1,-1,-1,-1,"20,9 м²","8,7 м²",+79857048937,Крюково,Зеленоград,к1620,Зеленоград — Крюково,
Sminex,developer,https://www.cian.ru/sale/flat/308620060/,Москва,sale,flat,9,14,1,44.6,27170000,2023,-1,-1,-1,Без отделки,"13,8 м²","21,4 м²",+74951375461,Раменки,проспект Генерала Дорохова,39к2Л,Ломоносовский проспект,Собрание клубных домов West Garden
MR Group,developer,https://www.cian.ru/sale/flat/306477182/,Москва,sale,flat,9,30,1,37.5,17725242,2024,-1,"Монолитно-кирпичный, монолитный",-1,Предчистовая,"10,4 м²","18,9 м²",+74951387213,Южнопортовый,Волгоградский проспект,32/5к2,Волгоградский проспект,Метрополия
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/296124514/,Москва,sale,flat,22,22,1,17.2,8780000,1980,-1,-1,-1,-1,13 м²,4 м²,+79647824573,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
Абсолют Недвижимость,developer,https://www.cian.ru/sale/flat/308015825/,Москва,sale,flat,4,17,1,33.4,9544436,2027,-1,"Панельный, монолитный",-1,"Без отделки, чистовая","12,7 м²",-1,+74993896306,,,,Мичуринец,Переделкино Ближнее Город-парк
METRAGE,real_estate_agent,https://www.cian.ru/sale/flat/307206751/,Москва,sale,flat,10,14,1,35.0,8900000,-1,-1,-1,-1,-1,"19,4 м²",10 м²,+79153239664,Вешняки, Молдагуловой,4,Вешняки,
1-й ДСК,developer,https://www.cian.ru/sale/flat/300976168/,Москва,sale,flat,2,12,1,40.7,13952164,2026,-1,Монолитный,-1,"Предчистовая, чистовая","16,7 м²","10,8 м²",+74951379947,Гольяново,Монтажная ,вл8/24,Щёлковская,1-й Измайловский
Спартак,developer,https://www.cian.ru/sale/flat/297680770/,Москва,sale,flat,13,14,1,108.0,27594000,2023,-1,-1,-1,Без отделки,"23,9 м²",68 м²,+74951387039,Ясенево,Новоясеневский проспект,3В,Тёплый Стан,Комплекс апартаментов LES
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/308550093/,Москва,sale,flat,9,23,1,31.9,17900000,2023,-1,-1,-1,-1,"14,5 м²","8,3 м²",+79857048937,Хорошево-Мневники,Шелепихинская набережная,40к2,Народное Ополчение,Sydney City
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/297087850/,Москва,sale,flat,51,75,1,123.0,85000000,-1,-1,-1,-1,-1,69 м²,15 м²,+79660611022,Пресненский,1-й Красногвардейский проезд,15,Деловой центр,Меркурий Тауэр
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/307344153/,Москва,sale,flat,1,9,1,35.9,9900000,1967,-1,-1,-1,-1,18 м²,"6,7 м²",+79672017880,Коньково, Академика Волгина,13,Университет Дружбы Народов,
Евгений Белокуров,realtor,https://www.cian.ru/sale/flat/306602662/,Москва,sale,flat,4,23,1,41.8,19850000,2019,-1,-1,-1,-1,"16,8 м²","11,1 м²",+79671257443,Свиблово,Сельскохозяйственная ,38к2,Ботанический сад,LIFE-Ботанический сад
5 ДОНСКОЙ,developer,https://www.cian.ru/sale/flat/304473296/,Москва,sale,flat,24,75,1,43.19,25766938,2026,-1,Монолитный,-1,Предчистовая,-1,-1,+74951370056,Донской,5-й Донской проезд,вл21к6,Площадь Гагарина,The Five
MR Group,developer,https://www.cian.ru/sale/flat/306610686/,Москва,sale,flat,27,59,1,32.2,2028,-1,Монолитно-кирпичный,-1,Предчистовая,10 м²,-1,+74951370518,Можайский,,,Давыдково,Веер ЖК
Главстрой,developer,https://www.cian.ru/sale/flat/296921064/,Москва,sale,flat,2,16,1,45.0,23274675,2024,-1,-1,-1,Без отделки,"16,4 м²","14,6 м²",+74951379308,Филевский парк,Береговой проезд,2,Фили,Береговой-2
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/299890518/,Москва,sale,flat,9,40,1,41.5,32000000,-1,-1,-1,-1,-1,"23,4 м²","4,9 м²",+79646331510,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/308789447/,Москва,sale,flat,11,12,1,33.5,8000000,1972,-1,-1,-1,-1,17 м²,7 м²,+79163568699,Чертаново Южное,3-й Дорожный проезд,6К1,Улица Академика Янгеля,
Пионер,developer,https://www.cian.ru/sale/flat/305778449/,Москва,sale,flat,3,26,1,23.9,22602971,2027,-1,Монолитный,-1,"Без отделки, предчистовая, чистовая",-1,-1,+74951387048,Даниловский,,,Павелецкая,Хай Лайф ЖК
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301550653/,Москва,sale,flat,13,41,1,41.5,31000000,-1,-1,-1,-1,-1,"23,4 м²","4,9 м²",+79646331510,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
Absolute Premium,developer,https://www.cian.ru/sale/flat/304065733/,Москва,sale,flat,9,18,1,49.8,60432000,2026,-1,Монолитный,-1,"Без отделки, предчистовая","11,3 м²",-1,+74951387189,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК
hoomie,real_estate_agent,https://www.cian.ru/sale/flat/305679592/,Москва,sale,flat,7,20,1,43.09,20252300,2024,-1,-1,-1,-1,"10,6 м²","18,7 м²",+79652908569,Даниловский,Автозаводская ,26,Тульская,FORST
Ордер,real_estate_agent,https://www.cian.ru/sale/flat/280751407/,Москва,sale,flat,4,7,1,33.56,5600000,2024,-1,-1,-1,Без отделки,"12,5 м²","10,5 м²",+79154398945,, Луговая,,Рассказовка,Эдельвейс
Донстрой,developer,https://www.cian.ru/sale/flat/309018369/,Москва,sale,flat,6,50,1,49.3,25621210,2027,-1,Монолитный,-1,Без отделки,"14,1 м²","17,9 м²",+74951387177,Раменки,м. Мичуринский проспект,,Мичуринский проспект,Событие
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/309338440/,Москва,sale,flat,1,17,1,35.8,8600000,2005,-1,-1,-1,-1,14 м²,9 м²,+79852531815,Левобережный,Валдайский проезд,13АК1,Беломорская,
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/294476646/,Москва,sale,flat,3,5,1,31.0,18500000,1958,-1,-1,-1,-1,-1,-1,+79660626305,Пресненский, Юлиуса Фучика,2/30,Маяковская,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/308934281/,Москва,sale,flat,6,17,1,36.3,12500000,2006,-1,-1,-1,-1,17 м²,8 м²,+79651096613,Кунцево, Коцюбинского,10,Кунцевская,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/307502540/,Москва,sale,flat,6,14,1,39.4,8750000,1994,-1,-1,-1,-1,"20,9 м²","8,7 м²",+79857048937,Крюково,Зеленоград,к1620,Зеленоград — Крюково,
MR Group,developer,https://www.cian.ru/sale/flat/306477182/,Москва,sale,flat,9,30,1,37.5,17725242,2024,-1,"Монолитно-кирпичный, монолитный",-1,Предчистовая,"10,4 м²","18,9 м²",+74951387213,Южнопортовый,Волгоградский проспект,32/5к2,Волгоградский проспект,Метрополия
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/304787065/,Москва,sale,flat,79,97,1,73.0,72900000,-1,-1,-1,-1,-1,50 м²,18 м²,+79850016320,Пресненский,набережная Пресненская,12,Деловой центр,Башня Федерация
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/296124514/,Москва,sale,flat,22,22,1,17.2,8780000,1980,-1,-1,-1,-1,13 м²,4 м²,+79647824573,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
METRAGE,real_estate_agent,https://www.cian.ru/sale/flat/307206751/,Москва,sale,flat,10,14,1,35.0,8900000,-1,-1,-1,-1,-1,"19,4 м²",10 м²,+79153239664,Вешняки, Молдагуловой,4,Вешняки,
1-й ДСК,developer,https://www.cian.ru/sale/flat/300976168/,Москва,sale,flat,2,12,1,40.7,13952164,2026,-1,Монолитный,-1,"Предчистовая, чистовая","16,7 м²","10,8 м²",+74951379947,Гольяново,Монтажная ,вл8/24,Щёлковская,1-й Измайловский
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/297087850/,Москва,sale,flat,51,75,1,123.0,85000000,-1,-1,-1,-1,-1,69 м²,15 м²,+79660611022,Пресненский,1-й Красногвардейский проезд,15,Деловой центр,Меркурий Тауэр
hoomie,real_estate_agent,https://www.cian.ru/sale/flat/305679592/,Москва,sale,flat,7,20,1,43.09,20252300,2024,-1,-1,-1,-1,"10,6 м²","18,7 м²",+79652908569,Даниловский,Автозаводская ,26,Тульская,FORST
Ордер,real_estate_agent,https://www.cian.ru/sale/flat/280751407/,Москва,sale,flat,4,7,1,33.56,5600000,2024,-1,-1,-1,Без отделки,"12,5 м²","10,5 м²",+79154398945,, Луговая,,Рассказовка,Эдельвейс
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/294476646/,Москва,sale,flat,3,5,1,31.0,18500000,1958,-1,-1,-1,-1,-1,-1,+79660626305,Пресненский, Юлиуса Фучика,2/30,Маяковская,
А101,developer,https://www.cian.ru/sale/flat/306746038/,Москва,sale,flat,4,19,1,34.5,7739523,2025,-1,-1,-1,Без отделки,"11,8 м²",11 м²,+74951344536,,,7.1,Улица Горчакова,Бунинские Кварталы ЖК
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/296124514/,Москва,sale,flat,22,22,1,17.2,8780000,1980,-1,-1,-1,-1,13 м²,4 м²,+79647824573,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
METRAGE,real_estate_agent,https://www.cian.ru/sale/flat/307206751/,Москва,sale,flat,10,14,1,35.0,8900000,-1,-1,-1,-1,-1,"19,4 м²",10 м²,+79153239664,Вешняки, Молдагуловой,4,Вешняки,
,,https://www.cian.ru/sale/flat/306602662/,Москва,sale,flat,4,23,1,41.8,19850000,2019,-1,-1,-1,-1,"16,8 м²","11,1 м²",+79671257443,Свиблово,Сельскохозяйственная ,38к2,Ботанический сад,LIFE-Ботанический сад
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/309244324/,Москва,sale,flat,17,17,1,38.0,8200000,1992,-1,-1,-1,-1,17 м²,8 м²,+79672089940,Крюково,Зеленоград,к1560,Зеленоград — Крюково,
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/304747343/,Москва,sale,flat,12,17,1,40.0,17500000,2024,-1,-1,-1,Без отделки,"12,2 м²","13,2 м²",+79057143761,Даниловский, Петра Кончаловского,7к3,Технопарк,Shagal
Plus Development,developer,https://www.cian.ru/sale/flat/308704174/,Москва,sale,flat,3,23,1,27.1,6408858,2026,-1,Монолитно-кирпичный,-1,"Без отделки, предчистовая, чистовая","10,3 м²",11 м²,+74951370084,,,,Филатов Луг,Детали ЖК
ПИК,developer,https://www.cian.ru/sale/flat/308079455/,Москва,sale,flat,2,11,1,32.3,7140270,2026,-1,"Панельный, монолитный",-1,Чистовая,"9,4 м²","15,6 м²",+74951370503,Южное Бутово,,,Щербинка,Никольские Луга ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309185663/,Москва,sale,flat,2,12,1,35.81,7376860,2025,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, чистовая","10,8 м²","9,7 м²",+74951374063,,,к21,Щербинка,Остафьево ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309194939/,Москва,sale,flat,14,16,1,35.67,7646412,2026,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, чистовая","13,2 м²","10,8 м²",+74997098514,,,13,Летово,Эко Бунино ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309197822/,Москва,sale,flat,7,9,1,38.27,7882410,2025,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","10,5 м²","19,3 м²",+74951375212,,,к1,Силикатная,Подольские Кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/306745800/,Москва,sale,flat,9,17,1,36.7,8109823,2025,-1,-1,-1,Без отделки,"13,4 м²","11,7 м²",+74951344536,,,7.1,Улица Горчакова,Бунинские Кварталы ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309195216/,Москва,sale,flat,11,13,1,35.58,8219946,2025,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","10,1 м²","17,3 м²",+74999228924,,,к11,Филатов Луг,Цветочные Поляны ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309188038/,Москва,sale,flat,7,17,1,39.96,8390297,2025,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","12,3 м²","19,3 м²",+74951374687,,,к1,Филатов Луг,Квартал Марьино ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309195448/,Москва,sale,flat,8,16,1,40.3,8580879,2024,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","14,9 м²","12,1 м²",+74999228924,,,4-5,Филатов Луг,Цветочные Поляны
Самолет,developer,https://www.cian.ru/sale/flat/309190351/,Москва,sale,flat,3,10,1,41.28,8807199,2024,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","10,6 м²","20,9 м²",+74951374954,,,к13,Щербинка,Алхимово ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309190295/,Москва,sale,flat,5,15,1,41.21,8940495,2024,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","10,6 м²","20,9 м²",+74951374954,,,к11,Щербинка,Алхимово ЖК
Самолет,developer,https://www.cian.ru/sale/flat/309186658/,Москва,sale,flat,10,10,1,34.96,9153480,2024,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, чистовая","10,5 м²","15,5 м²",+74951378825,,,к17,Рассказовка,Новое Внуково ЖК
ПИК,developer,https://www.cian.ru/sale/flat/306685271/,Москва,sale,flat,6,9,1,41.86,9293547,2025,-1,Панельный,-1,"Без отделки, чистовая","9,5 м²","18,3 м²",+74951375440,,,к4.2,Филатов Луг,Середневский Лес ЖК
ПИК,developer,https://www.cian.ru/sale/flat/306206908/,Москва,sale,flat,30,32,1,31.1,9628466,2027,-1,Монолитный,-1,Чистовая,"7,1 м²",19 м²,+74951387182,Западное Дегунино,,,Речной вокзал,Бусиновский Парк ЖК
Наталья Павлова,realtor,https://www.cian.ru/sale/flat/304368600/,Москва,sale,flat,2,9,1,47.0,9800000,-1,-1,-1,-1,-1,22 м²,15 м²,+79161602290,, Семена Гордого,10,Крёкшино,
НДВ,real_estate_agent,https://www.cian.ru/sale/flat/307967252/,Москва,sale,flat,8,14,1,38.6,9850000,-1,-1,-1,-1,-1,-1,9 м²,+79165727913,Братеево,Братеевская ,39/12,Алма-Атинская,
ПИК,developer,https://www.cian.ru/sale/flat/305378170/,Москва,sale,flat,19,33,1,32.6,10048167,2025,-1,"Панельный, монолитный",-1,Чистовая,"9,5 м²","16,1 м²",+74951387148,Люблино,14.5,14.5,Братиславская,Люблинский парк ЖК
Абсолют Недвижимость,developer,https://www.cian.ru/sale/flat/308015848/,Москва,sale,flat,9,17,1,38.5,10337836,2027,-1,"Панельный, монолитный",-1,"Без отделки, чистовая","15,4 м²",-1,+74993896306,,,,Мичуринец,Переделкино Ближнее Город-парк
А101,developer,https://www.cian.ru/sale/flat/306737553/,Москва,sale,flat,10,16,1,37.7,10543053,2025,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, предчистовая, черновая, чистовая","13,4 м²","12,3 м²",+74951379021,,м. Бунинская аллея,,Бунинская аллея,Скандинавия
,,https://www.cian.ru/sale/flat/307197084/,Москва,sale,flat,5,19,1,36.75,10649856,2025,-1,-1,-1,-1,-1,-1,+78005116552,,,,Рассказовка,Городские Истории ЖК
ПИК,developer,https://www.cian.ru/sale/flat/307051466/,Москва,sale,flat,16,17,1,35.8,10765274,2025,-1,"Панельный, монолитный",-1,Чистовая,"10,4 м²","18,1 м²",+74951387148,Люблино,14.6,14.6,Братиславская,Люблинский парк ЖК
ПИК,developer,https://www.cian.ru/sale/flat/309108593/,Москва,sale,flat,14,33,1,40.9,11045535,2025,-1,"Панельный, монолитный",-1,Чистовая,"16,4 м²","16,3 м²",+74951387148,Люблино,14.5,14.5,Братиславская,Люблинский парк ЖК
ПИК,developer,https://www.cian.ru/sale/flat/306939998/,Москва,sale,flat,17,24,1,32.5,11217960,2025,-1,Монолитный,-1,Чистовая,"9,5 м²","16,2 м²",+74951377582,Текстильщики,,5.3,Текстильщики,Волжский Парк ЖК
Главстрой,developer,https://www.cian.ru/sale/flat/306076580/,Москва,sale,flat,4,22,2,67.1,28687292,2024,-1,Монолитно-кирпичный,-1,Без отделки,"21,5 м²","22,3 м²",+74951379308,Филевский парк,Береговой проезд,2,Фили,Береговой-2
ID 16079413,homeowner,https://www.cian.ru/sale/flat/306373999/,Москва,sale,flat,11,12,2,45.0,10499999,1967,-1,-1,-1,-1,30 м²,6 м²,+79067946787,Выхино-Жулебино, Хлобыстова,8К1,Вешняки,
Dominanta,developer,https://www.cian.ru/sale/flat/304842271/,Москва,sale,flat,16,34,2,56.1,36913800,2028,-1,Монолитно-кирпичный,-1,Предчистовая,"35,2 м²","5,3 м²",+74951379581,Раменки,проезд 4-й Сетуньский,10Ас2,Парк Победы,hideOUT
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/308803035/,Москва,sale,flat,3,8,2,57.7,25499000,1960,-1,-1,-1,-1,"35,8 м²","10,2 м²",+79857048937,Гагаринский,Ленинский проспект,57,Вавиловская,
Ташир,developer,https://www.cian.ru/sale/flat/309093375/,Москва,sale,flat,11,16,2,47.4,22858176,2024,-1,Монолитный,-1,"Без отделки, черновая, чистовая с мебелью","13,5 м²",-1,+74951478662,Даниловский,Малая Тульская ,2,Тульская,DECO RESIDENCE (Апартаменты премиум-класса)
