author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,phone,district,street,house_number,underground,residential_complex
Главстрой,developer,https://www.cian.ru/sale/flat/296921064/,Москва,sale,flat,2,16,1,45.0,23274675,2024,-1,Монолитно-кирпичный,-1,Без отделки,"16,4 м²","14,6 м²",+74951379308,Филевский парк,Береговой проезд,2,Фили,Береговой-2
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/299890518/,Москва,sale,flat,9,40,1,41.5,32000000,-1,-1,-1,-1,-1,"23,4 м²","4,9 м²",+79646331510,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/308789447/,Москва,sale,flat,11,12,1,33.5,8000000,1972,-1,-1,-1,-1,17 м²,7 м²,+79163568699,Чертаново Южное,3-й Дорожный проезд,6К1,Улица Академика Янгеля,
Пионер,developer,https://www.cian.ru/sale/flat/305778449/,Москва,sale,flat,3,26,1,23.9,22602971,2027,-1,Монолитный,-1,"Без отделки, предчистовая, чистовая",-1,-1,+74951387048,Даниловский,,,Павелецкая,Хай Лайф ЖК
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301550653/,Москва,sale,flat,13,41,1,41.5,31000000,-1,-1,-1,-1,-1,"23,4 м²","4,9 м²",+79646331510,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/309028428/,Москва,sale,flat,9,14,1,38.5,7000000,1993,-1,-1,-1,-1,18 м²,8 м²,+79660549528,Крюково,Зеленоград,к1524,Зеленоград — Крюково,
MR Group,developer,https://www.cian.ru/sale/flat/306603296/,Москва,sale,flat,7,36,1,40.9,30348986,2027,-1,Монолитный,-1,Без отделки,-1,-1,+74951378819,Беговой,Ленинградский проспект,вл8,Белорусская,Slava
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/303027445/,Москва,sale,flat,3,20,1,59.0,61800000,2023,-1,-1,-1,-1,39 м²,15 м²,+79057122519,Пресненский, Костикова,4к6,Улица 1905 года,Lucky
Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/308103967/,Москва,sale,flat,2,2,1,34.5,6400000,-1,-1,-1,-1,-1,"19,5 м²",10 м²,+79859658318,Марьино, Перерва,8С1,Перерва,
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/306243017/,Москва,sale,flat,2,27,1,45.7,21798900,2026,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","26,8 м²","7,8 м²",+74951387097,Басманный, Фридриха Энгельса,56С9,Бауманская,Дом 56
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307950468/,Москва,sale,flat,4,13,1,43.6,37500000,-1,-1,-1,-1,-1,14 м²,"16,8 м²",+79663386401,Пресненский, Сергея Макеева,9к1,Улица 1905 года,RedSide
Денис Каргин,realtor,https://www.cian.ru/sale/flat/285374995/,Москва,sale,flat,6,6,1,29.5,6199999,2023,-1,-1,-1,-1,-1,-1,+79057124759,Восточное Измайлово,Первомайская ,126,Первомайская,
Hutton Development,developer,https://www.cian.ru/sale/flat/304286459/,Москва,sale,flat,2,6,1,48.3,95634000,2026,-1,-1,-1,Без отделки,-1,-1,+74951379715,Якиманка,Софийская набережная,34С3,Новокузнецкая,Клубный дом DUO
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307970298/,Москва,sale,flat,14,32,1,44.0,32500000,2021,-1,-1,-1,-1,25 м²,10 м²,+79152977461,Черемушки,Херсонская ,43к5,Зюзино,ONYX Deluxe
Главстрой,developer,https://www.cian.ru/sale/flat/306076580/,Москва,sale,flat,4,22,2,67.1,28687292,2024,-1,Монолитно-кирпичный,-1,Без отделки,"21,5 м²","22,3 м²",+74951379308,Филевский парк,Береговой проезд,2,Фили,Береговой-2
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/272003903/,Москва,sale,flat,5,6,2,41.0,26900000,2016,-1,-1,-1,-1,-1,-1,+79197672046,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
Главстрой,developer,https://www.cian.ru/sale/flat/307941294/,Москва,sale,flat,4,20,3,103.7,40291971,2024,-1,Монолитно-кирпичный,-1,Без отделки,"35,2 м²","25,5 м²",+74951379308,Филевский парк,Береговой проезд,2,Фили,Береговой-2
Главстрой,developer,https://www.cian.ru/sale/flat/296921048/,Москва,sale,flat,2,13,4,125.7,61997125,2024,-1,Монолитно-кирпичный,-1,Без отделки,"56,6 м²","36,2 м²",+74951379308,Филевский парк,Береговой проезд,2,Фили,Береговой-2
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/288460497/,Москва,sale,flat,6,6,4,324.5,250000000,-1,-1,-1,-1,-1,-1,-1,+79197672046,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
Главстрой,developer,https://www.cian.ru/sale/flat/296921235/,Москва,sale,flat,24,24,5,172.5,207000000,2024,-1,Монолитно-кирпичный,-1,Без отделки,"104,6 м²","10,5 м²",+74951379308,Филевский парк,Береговой проезд,2,Фили,Береговой-2
ID 18174647,realtor,https://www.cian.ru/sale/flat/301450189/,Москва,sale,flat,26,31,5,246.7,289217939,2008,-1,-1,-1,-1,"140,9 м²",28 м²,+79166462390,Очаково-Матвеевское,Нежинская ,1к1,Давыдково,Кутузовская Ривьера
MR Group,developer,https://www.cian.ru/sale/flat/306603345/,Москва,sale,flat,21,36,1,29.3,26272255,2027,-1,Монолитный,-1,Без отделки,-1,-1,+74951378819,Беговой,Ленинградский проспект,вл8,Белорусская,Slava
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/302438510/,Москва,sale,flat,20,85,1,34.46,27600000,2027,-1,-1,-1,Без отделки,"19,7 м²",4 м²,+79099976438,Пресненский,Краснопресненская набережная,,Москва-Сити,Дом Дау
GloraX,developer,https://spb.cian.ru/sale/flat/308464992/,Московская область,sale,flat,8,9,1,30.99,12419999,2024,-1,-1,-1,Неизвестно,"9,7 м²","11,1 м²",+78122133942,Адмиралтейский, Шкапина,15,Балтийская,GloraX Балтийская
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/299890518/,Московская область,sale,flat,9,40,1,41.5,32000000,-1,-1,-1,-1,-1,"23,4 м²","4,9 м²",+79646331510,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
GloraX,developer,https://spb.cian.ru/sale/flat/303819725/,Московская область,sale,flat,8,9,2,49.17,17299999,2024,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","21,8 м²",11 м²,+78122133942,Адмиралтейский, Шкапина,15,Балтийская,GloraX Балтийская
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/272003903/,Московская область,sale,flat,5,6,2,41.0,26900000,2016,-1,-1,-1,-1,-1,-1,+79197672046,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
GloraX,developer,https://spb.cian.ru/sale/flat/303477732/,Московская область,sale,flat,2,9,3,78.17,21899999,2024,-1,-1,-1,С отделкой,"39,2 м²","16,4 м²",+78122133942,Адмиралтейский, Шкапина,15,Балтийская,GloraX Балтийская
САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/304330088/,Московская область,sale,flat,8,15,3,119.5,155350000,-1,-1,-1,-1,-1,"46,2 м²","13,3 м²",+79153701347,Хамовники, Усачева,15,Спортивная,Садовые кварталы
Новый Адрес,real_estate_agent,https://spb.cian.ru/sale/flat/304248397/,Московская область,sale,flat,3,12,3,68.7,11800000,1982,-1,-1,-1,-1,"43,7 м²","7,1 м²",+79052164851,Приморский,Богатырский проспект,5К1,Пионерская,
GloraX,developer,https://spb.cian.ru/sale/flat/304043871/,Московская область,sale,flat,11,19,4,101.8,39819999,2025,-1,Монолитный,-1,Предчистовая,"45,9 м²",33 м²,+78122133633,Василеостровский, Челюскина,10,,GloraX Premium Василеостровский
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/288460497/,Московская область,sale,flat,6,6,4,324.5,250000000,-1,-1,-1,-1,-1,-1,-1,+79197672046,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/308120148/,Московская область,sale,flat,8,8,4,110.0,46690000,1915,-1,-1,-1,-1,80 м²,"13,5 м²",+79645652605,Красносельский,Большая Сухаревская площадь,16/18С1,Сухаревская,
Главстрой,developer,https://www.cian.ru/sale/flat/296921235/,Московская область,sale,flat,24,24,5,172.5,207000000,2024,-1,Монолитно-кирпичный,-1,Без отделки,"104,6 м²","10,5 м²",+74951379308,Филевский парк,Береговой проезд,2,Фили,Береговой-2
GloraX,developer,https://spb.cian.ru/sale/flat/303819700/,Московская область,sale,flat,8,9,1,20.14,9249999,2024,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","7,5 м²","3,5 м²",+78122133942,Адмиралтейский, Шкапина,15,Балтийская,GloraX Балтийская
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/302438510/,Московская область,sale,flat,20,85,1,34.46,27600000,2027,-1,-1,-1,Без отделки,"19,7 м²",4 м²,+79099976438,Пресненский,Краснопресненская набережная,,Москва-Сити,Дом Дау
